sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2303.32,0.023398,133.8133,5,True
2,2456.72,0.022014,147.0284,5,True
3,2498.13,0.015653,137.6739,6,True
4,3017.52,0.01485,135.0365,7,True
5,3044.8,0.014846,137.3868,7,True
6,3058.19,0.014018,138.5401,7,True
7,3276.9,0.013643,157.3817,7,True
8,3717.83,0.013981,147.9849,8,True
9,3784.14,0.013924,153.6979,8,True
10,3871.03,0.013002,161.1827,8,True
11,4107.03,0.012359,181.5136,8,True
12,4358.32,0.013084,155.781,9,True
13,5396.82,0.012216,197.8634,10,True
