sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,4881.84,0.030626,317.1778,8,True
2,5073.95,0.030421,333.7282,8,True
3,5167.0,0.029816,341.7439,8,True
4,5179.22,0.029298,342.7968,8,True
5,5197.19,0.029101,344.3442,8,True
6,5204.52,0.028263,332.0538,9,True
7,5281.74,0.028218,338.706,9,True
8,5310.08,0.027062,341.1475,9,True
9,5356.35,0.026084,345.1339,9,True
10,5369.19,0.025607,346.2402,9,True
11,5553.78,0.025294,362.142,9,True
12,5901.19,0.026367,344.6894,10,True
13,5909.86,0.025751,345.436,10,True
14,5944.55,0.024259,348.4242,10,True
15,6015.19,0.023168,354.5098,10,True
16,7139.15,0.022498,403.9546,11,True
