sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,11195.36,0.032352,731.8473,18,True
2,11990.73,0.031592,752.9845,19,True
3,12251.07,0.030885,775.4124,19,True
4,12443.77,0.030244,744.6319,20,True
5,12755.72,0.029351,771.5053,20,True
6,13439.56,0.027835,783.0355,21,True
7,13887.01,0.02784,774.2008,22,True
8,14181.85,0.027665,846.9809,21,True
9,14343.59,0.027806,813.5338,22,True
10,14612.02,0.027112,789.2778,23,True
11,15566.61,0.026864,824.1319,24,True
12,15862.06,0.026346,849.5837,24,True
