sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3529.8,0.04018,239.4703,5,True
2,3589.83,0.028366,231.7196,6,True
3,4284.3,0.024429,244.1654,7,True
4,4824.72,0.027653,243.3398,8,True
5,4961.72,0.023703,255.1425,8,True
6,5144.73,0.023619,270.9084,8,True
7,5280.68,0.022973,282.6199,8,True
8,5292.45,0.022176,236.2533,9,True
9,5978.89,0.022073,295.387,9,True
10,6347.29,0.021067,279.7434,10,True
11,6452.02,0.020223,288.7651,10,True
12,7127.93,0.019891,299.6124,11,True
13,7195.73,0.019732,305.4524,11,True
