sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3405.54,0.029958,215.8437,6,True
2,3425.47,0.025565,204.639,7,True
3,3510.18,0.024954,211.9365,7,True
4,3516.05,0.02279,212.4424,7,True
5,3659.67,0.021169,224.8148,7,True
6,4029.48,0.021124,209.2915,8,True
7,4122.69,0.02102,217.3209,8,True
8,4173.45,0.01923,221.6942,8,True
9,4937.88,0.018982,240.1669,9,True
10,4970.84,0.017598,243.0055,9,True
11,5411.99,0.01884,233.6292,10,True
12,6012.53,0.017499,285.3634,10,True
13,6295.25,0.016929,262.3384,11,True
14,6543.4,0.016839,283.7155,11,True
15,6928.66,0.015987,269.5237,12,True
16,6979.28,0.015801,273.8846,12,True
