sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3104.03,0.042358,215.7135,4,True
2,3186.18,0.038868,222.791,4,True
3,3209.13,0.036477,224.7676,4,True
4,3229.71,0.035899,226.5408,4,True
5,3255.92,0.039532,215.8764,5,True
6,3266.04,0.035684,229.6706,4,True
7,3324.32,0.035602,234.6911,4,True
8,3425.12,0.035617,230.4529,5,True
9,3427.22,0.035523,243.5558,4,True
10,3480.42,0.035298,248.1388,4,True
11,3524.39,0.034315,251.9268,4,True
12,3538.33,0.034193,253.1272,4,True
13,3559.76,0.034381,242.0515,5,True
14,3611.79,0.033492,259.4553,4,True
15,3931.55,0.032903,274.0802,5,True
