sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3178.4,0.029329,209.199,5,True
2,3179.71,0.026902,209.3111,5,True
3,3208.53,0.023892,198.8725,6,True
4,3231.14,0.023067,200.8196,6,True
5,3252.53,0.022018,202.6623,6,True
6,3413.72,0.021856,216.5483,6,True
7,3672.38,0.02044,191.4508,7,True
8,3805.54,0.020102,202.9217,7,True
9,3847.0,0.019821,206.4939,7,True
10,3962.95,0.019619,216.4819,7,True
11,4049.29,0.019173,223.92,7,True
12,4385.95,0.017681,205.5415,8,True
13,4387.96,0.017549,205.7144,8,True
14,4821.83,0.017336,243.0909,8,True
15,5064.89,0.016754,216.6497,9,True
16,6134.67,0.016721,261.4266,10,True
