sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,5479.27,0.028109,342.8008,10,True
2,5629.31,0.027157,342.8046,11,True
3,5791.59,0.025988,356.7839,11,True
4,5844.89,0.024229,361.3757,11,True
5,6147.28,0.024152,387.4259,11,True
6,6202.79,0.023048,344.8272,12,True
7,6364.93,0.022905,358.7946,12,True
8,6616.01,0.021973,380.4246,12,True
9,6643.04,0.02182,382.7529,12,True
10,7081.92,0.022709,373.1809,13,True
11,7088.05,0.021521,373.7083,13,True
12,7237.36,0.021006,386.5709,13,True
13,7735.25,0.021489,382.0822,14,True
14,7852.08,0.02028,392.1461,14,True
15,8342.49,0.019243,387.0134,15,True
