sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,6037.08,0.024711,390.854,10,True
2,6050.79,0.02432,379.113,11,True
3,6208.34,0.023856,392.6855,11,True
4,6232.98,0.023096,394.8085,11,True
5,6379.01,0.022393,407.3888,11,True
6,6380.39,0.021349,407.5077,11,True
7,6733.91,0.022147,390.5813,12,True
8,6780.41,0.02177,394.5872,12,True
9,6829.42,0.021614,398.8094,12,True
10,6913.04,0.020846,406.0123,12,True
11,6987.18,0.020598,412.3996,12,True
12,7121.91,0.020377,424.0058,12,True
13,7142.51,0.020308,425.7811,12,True
14,7143.49,0.019179,425.8648,12,True
15,7283.82,0.021419,390.5732,13,True
16,7387.39,0.020018,399.4956,13,True
17,7411.19,0.019897,401.5462,13,True
18,7507.4,0.019824,409.8341,13,True
19,7599.51,0.019346,417.7695,13,True
20,7667.02,0.019095,423.5851,13,True
21,7811.99,0.018348,436.0735,13,True
22,8081.58,0.019699,411.9173,14,True
23,8229.73,0.018028,424.6794,14,True
24,8730.97,0.017892,467.8599,14,True
25,9224.26,0.017698,462.975,15,True
26,11134.91,0.017397,532.8095,17,True
