sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,6955.68,0.020454,418.301,14,True
2,6955.68,0.020454,418.301,14,True
3,6955.68,0.020454,418.301,14,True
4,6955.68,0.020454,418.301,14,True
5,6955.68,0.020454,418.301,14,True
6,6955.68,0.020454,418.301,14,True
7,6955.68,0.020454,418.301,14,True
8,6955.68,0.020454,418.301,14,True
9,6955.68,0.020454,418.301,14,True
10,6955.68,0.020454,418.301,14,True
11,6955.68,0.020454,418.301,14,True
12,6955.68,0.020454,418.301,14,True
13,6955.68,0.020454,418.301,14,True
14,7027.17,0.020027,424.4597,14,True
15,7027.17,0.020027,424.4597,14,True
16,7027.17,0.020027,424.4597,14,True
17,7027.17,0.020027,424.4597,14,True
18,7027.17,0.020027,424.4597,14,True
19,7027.17,0.020027,424.4597,14,True
20,7027.17,0.020027,424.4597,14,True
21,7027.17,0.020027,424.4597,14,True
22,7027.17,0.020027,424.4597,14,True
23,7027.17,0.020027,424.4597,14,True
24,7027.17,0.020027,424.4597,14,True
25,7027.17,0.020027,424.4597,14,True
26,7027.17,0.020027,424.4597,14,True
27,7027.17,0.020027,424.4597,14,True
28,7050.96,0.018535,413.5871,15,True
29,7050.96,0.018535,413.5871,15,True
30,7050.96,0.018535,413.5871,15,True
31,7050.96,0.018535,413.5871,15,True
32,7050.96,0.018535,413.5871,15,True
33,7050.96,0.018535,413.5871,15,True
34,7050.96,0.018535,413.5871,15,True
35,7050.96,0.018535,413.5871,15,True
36,7050.96,0.018535,413.5871,15,True
37,7050.96,0.018535,413.5871,15,True
38,7050.96,0.018535,413.5871,15,True
39,7050.96,0.018535,413.5871,15,True
40,7050.96,0.018535,413.5871,15,True
41,7052.56,0.017363,413.7242,15,True
42,7052.56,0.017363,413.7242,15,True
43,7052.56,0.017363,413.7242,15,True
44,7052.56,0.017363,413.7242,15,True
45,7052.56,0.017363,413.7242,15,True
46,7052.56,0.017363,413.7242,15,True
47,7052.56,0.017363,413.7242,15,True
48,7052.56,0.017363,413.7242,15,True
49,7052.56,0.017363,413.7242,15,True
50,7052.56,0.017363,413.7242,15,True
51,7052.56,0.017363,413.7242,15,True
52,7052.56,0.017363,413.7242,15,True
53,7052.56,0.017363,413.7242,15,True
54,7230.41,0.017309,416.1235,16,True
55,7230.41,0.017309,416.1235,16,True
56,7230.41,0.017309,416.1235,16,True
57,7230.41,0.017309,416.1235,16,True
58,7230.41,0.017309,416.1235,16,True
59,7230.41,0.017309,416.1235,16,True
60,7230.41,0.017309,416.1235,16,True
61,7230.41,0.017309,416.1235,16,True
62,7230.41,0.017309,416.1235,16,True
63,7230.41,0.017309,416.1235,16,True
64,7230.41,0.017309,416.1235,16,True
65,7257.15,0.016819,418.4274,16,True
66,7257.15,0.016819,418.4274,16,True
67,7257.15,0.016819,418.4274,16,True
68,7257.15,0.016819,418.4274,16,True
69,7257.15,0.016819,418.4274,16,True
70,7257.15,0.016819,418.4274,16,True
71,7257.15,0.016819,418.4274,16,True
72,7257.15,0.016819,418.4274,16,True
73,7257.15,0.016819,418.4274,16,True
74,7257.15,0.016819,418.4274,16,True
75,7257.15,0.016819,418.4274,16,True
76,7265.78,0.015438,419.1711,16,True
77,7774.85,0.015298,450.1036,17,True
78,7774.85,0.015298,450.1036,17,True
79,7774.85,0.015298,450.1036,17,True
80,7774.85,0.015298,450.1036,17,True
81,7774.85,0.015298,450.1036,17,True
82,7774.85,0.015298,450.1036,17,True
83,7774.85,0.015298,450.1036,17,True
84,7774.85,0.015298,450.1036,17,True
85,7774.85,0.015298,450.1036,17,True
86,7774.85,0.015298,450.1036,17,True
87,7774.85,0.015298,450.1036,17,True
88,8073.73,0.015168,475.8507,17,True
89,8073.73,0.015168,475.8507,17,True
