sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,7916.91,0.016641,462.3412,17,True
2,7916.91,0.016641,462.3412,17,True
3,7916.91,0.016641,462.3412,17,True
4,7916.91,0.016641,462.3412,17,True
5,7916.91,0.016641,462.3412,17,True
6,7925.41,0.016609,463.0738,17,True
7,7925.41,0.016609,463.0738,17,True
8,7925.41,0.016609,463.0738,17,True
9,7925.41,0.016609,463.0738,17,True
10,7939.34,0.015421,451.3518,18,True
11,7939.34,0.015421,451.3518,18,True
12,8092.58,0.015336,464.5529,18,True
13,8199.52,0.015317,460.8434,19,True
14,8199.52,0.015317,460.8434,19,True
15,8199.52,0.015317,460.8434,19,True
16,8199.52,0.015317,460.8434,19,True
17,8199.52,0.015317,460.8434,19,True
18,8221.15,0.015244,475.6286,18,True
19,8221.15,0.015244,475.6286,18,True
20,8221.15,0.015244,475.6286,18,True
21,8221.15,0.015244,475.6286,18,True
22,8221.15,0.015244,475.6286,18,True
23,8225.69,0.015242,463.0982,19,True
24,8225.69,0.015242,463.0982,19,True
25,8225.69,0.015242,463.0982,19,True
26,8229.65,0.015212,476.3611,18,True
27,8229.65,0.015212,476.3611,18,True
28,8229.65,0.015212,476.3611,18,True
29,8229.65,0.015212,476.3611,18,True
30,8264.83,0.015185,479.3914,18,True
31,8264.83,0.015185,479.3914,18,True
32,8264.83,0.015185,479.3914,18,True
33,8264.83,0.015185,479.3914,18,True
34,8264.83,0.015185,479.3914,18,True
35,8461.64,0.014902,483.4244,19,True
36,8461.64,0.014902,483.4244,19,True
37,8461.64,0.014902,483.4244,19,True
38,8461.64,0.014902,483.4244,19,True
39,8470.15,0.01487,484.1569,19,True
40,8470.15,0.01487,484.1569,19,True
41,8470.15,0.01487,484.1569,19,True
42,8470.15,0.01487,484.1569,19,True
43,8505.32,0.014843,487.1872,19,True
44,8505.32,0.014843,487.1872,19,True
45,8505.32,0.014843,487.1872,19,True
46,8505.32,0.014843,487.1872,19,True
47,8505.32,0.014843,487.1872,19,True
48,8569.12,0.014842,492.683,19,True
49,8569.12,0.014842,492.683,19,True
50,8569.12,0.014842,492.683,19,True
51,8569.12,0.014842,492.683,19,True
52,8569.12,0.014842,492.683,19,True
53,8604.29,0.014815,495.7133,19,True
54,8604.29,0.014815,495.7133,19,True
55,8604.29,0.014815,495.7133,19,True
56,8604.29,0.014815,495.7133,19,True
57,8628.73,0.014677,497.818,19,True
58,8628.73,0.014677,497.818,19,True
59,8628.73,0.014677,497.818,19,True
60,8628.73,0.014677,497.818,19,True
61,8628.73,0.014677,497.818,19,True
62,8637.23,0.014645,498.5505,19,True
63,8637.23,0.014645,498.5505,19,True
64,8637.23,0.014645,498.5505,19,True
65,8637.23,0.014645,498.5505,19,True
66,8695.69,0.014635,503.5867,19,True
67,8695.69,0.014635,503.5867,19,True
68,8695.69,0.014635,503.5867,19,True
69,8695.69,0.014635,503.5867,19,True
70,8704.19,0.014603,504.3192,19,True
71,8704.19,0.014603,504.3192,19,True
72,8704.19,0.014603,504.3192,19,True
73,8704.19,0.014603,504.3192,19,True
74,8716.64,0.014589,505.3918,19,True
75,8716.64,0.014589,505.3918,19,True
76,8739.37,0.014576,507.3495,19,True
77,8739.37,0.014576,507.3495,19,True
78,8809.59,0.014573,500.477,20,True
79,8809.59,0.014573,500.477,20,True
80,8809.59,0.014573,500.477,20,True
81,8809.59,0.014573,500.477,20,True
82,8818.1,0.014541,501.2095,20,True
83,8818.1,0.014541,501.2095,20,True
84,8818.1,0.014541,501.2095,20,True
85,8818.1,0.014541,501.2095,20,True
86,8853.27,0.014514,504.2398,20,True
87,8853.27,0.014514,504.2398,20,True
88,8853.27,0.014514,504.2398,20,True
89,8853.27,0.014514,504.2398,20,True
90,8853.27,0.014514,504.2398,20,True
91,8885.06,0.014499,506.9782,20,True
92,8885.06,0.014499,506.9782,20,True
93,8885.06,0.014499,506.9782,20,True
94,8885.06,0.014499,506.9782,20,True
95,8885.06,0.014499,506.9782,20,True
96,8920.24,0.014472,510.0085,20,True
97,8920.24,0.014472,510.0085,20,True
98,8920.24,0.014472,510.0085,20,True
99,8920.24,0.014472,510.0085,20,True
100,8920.24,0.014472,510.0085,20,True
