sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2060.75,0.021304,125.8391,4,True
2,2060.75,0.021304,125.8391,4,True
3,2076.2,0.019194,127.1696,4,True
4,2092.89,0.017446,128.6076,4,True
5,2092.89,0.017446,128.6076,4,True
6,2092.89,0.017446,128.6076,4,True
7,2092.89,0.017446,128.6076,4,True
8,2111.82,0.017403,130.2382,4,True
9,2111.82,0.017403,130.2382,4,True
10,2111.82,0.017403,130.2382,4,True
11,2111.82,0.017403,130.2382,4,True
12,2111.82,0.017403,130.2382,4,True
13,2111.82,0.017403,130.2382,4,True
14,2111.82,0.017403,130.2382,4,True
15,2111.82,0.017403,130.2382,4,True
16,2111.82,0.017403,130.2382,4,True
17,2111.82,0.017403,130.2382,4,True
18,2111.82,0.017403,130.2382,4,True
19,2111.82,0.017403,130.2382,4,True
20,2111.82,0.017403,130.2382,4,True
21,2111.82,0.017403,130.2382,4,True
22,2111.82,0.017403,130.2382,4,True
23,2111.82,0.017403,130.2382,4,True
24,2123.3,0.017334,131.2274,4,True
25,2123.3,0.017334,131.2274,4,True
26,2123.3,0.017334,131.2274,4,True
27,2123.3,0.017334,131.2274,4,True
28,2123.3,0.017334,131.2274,4,True
29,2123.3,0.017334,131.2274,4,True
30,2157.71,0.017149,134.1919,4,True
31,2157.71,0.017149,134.1919,4,True
32,2157.71,0.017149,134.1919,4,True
33,2157.71,0.017149,134.1919,4,True
34,2157.71,0.017149,134.1919,4,True
35,2157.71,0.017149,134.1919,4,True
36,2157.71,0.017149,134.1919,4,True
37,2157.71,0.017149,134.1919,4,True
38,2157.71,0.017149,134.1919,4,True
39,2157.71,0.017149,134.1919,4,True
40,2157.71,0.017149,134.1919,4,True
41,2157.71,0.017149,134.1919,4,True
42,2157.71,0.017149,134.1919,4,True
43,2157.71,0.017149,134.1919,4,True
44,2157.71,0.017149,134.1919,4,True
45,2157.71,0.017149,134.1919,4,True
46,2157.71,0.017149,134.1919,4,True
47,2157.71,0.017149,134.1919,4,True
48,2157.71,0.017149,134.1919,4,True
49,2157.71,0.017149,134.1919,4,True
50,2157.71,0.017149,134.1919,4,True
51,2157.71,0.017149,134.1919,4,True
52,2157.71,0.017149,134.1919,4,True
53,2157.71,0.017149,134.1919,4,True
54,2157.71,0.017149,134.1919,4,True
55,2157.71,0.017149,134.1919,4,True
56,2157.71,0.017149,134.1919,4,True
57,2157.71,0.017149,134.1919,4,True
58,2157.71,0.017149,134.1919,4,True
59,2157.71,0.017149,134.1919,4,True
60,2157.71,0.017149,134.1919,4,True
61,2157.71,0.017149,134.1919,4,True
62,2157.71,0.017149,134.1919,4,True
63,2157.71,0.017149,134.1919,4,True
64,2157.71,0.017149,134.1919,4,True
65,2157.71,0.017149,134.1919,4,True
66,2157.71,0.017149,134.1919,4,True
67,2157.71,0.017149,134.1919,4,True
68,2157.71,0.017149,134.1919,4,True
69,2157.71,0.017149,134.1919,4,True
70,2157.71,0.017149,134.1919,4,True
71,2157.71,0.017149,134.1919,4,True
72,2157.71,0.017149,134.1919,4,True
73,2157.71,0.017149,134.1919,4,True
74,2157.71,0.017149,134.1919,4,True
75,2157.71,0.017149,134.1919,4,True
76,2157.71,0.017149,134.1919,4,True
77,2157.71,0.017149,134.1919,4,True
78,2157.71,0.017149,134.1919,4,True
79,2157.71,0.017149,134.1919,4,True
80,2157.71,0.017149,134.1919,4,True
81,2157.71,0.017149,134.1919,4,True
82,2157.71,0.017149,134.1919,4,True
83,2157.71,0.017149,134.1919,4,True
84,2157.71,0.017149,134.1919,4,True
85,2157.71,0.017149,134.1919,4,True
86,2157.71,0.017149,134.1919,4,True
87,2157.71,0.017149,134.1919,4,True
88,2157.71,0.017149,134.1919,4,True
89,2157.71,0.017149,134.1919,4,True
90,2157.71,0.017149,134.1919,4,True
91,2157.71,0.017149,134.1919,4,True
92,2157.71,0.017149,134.1919,4,True
93,2157.71,0.017149,134.1919,4,True
94,2157.71,0.017149,134.1919,4,True
95,2157.71,0.017149,134.1919,4,True
96,2157.71,0.017149,134.1919,4,True
97,2157.71,0.017149,134.1919,4,True
98,2379.06,0.016887,153.2603,4,True
99,2379.06,0.016887,153.2603,4,True
100,2412.21,0.017127,143.1935,5,True
