sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3464.45,0.022789,207.9972,7,True
2,3464.45,0.022789,207.9972,7,True
3,3464.45,0.022789,207.9972,7,True
4,3464.45,0.022789,207.9972,7,True
5,3464.45,0.022789,207.9972,7,True
6,3464.45,0.022789,207.9972,7,True
7,3464.45,0.022789,207.9972,7,True
8,3464.45,0.022789,207.9972,7,True
9,3464.45,0.022789,207.9972,7,True
10,3464.45,0.022789,207.9972,7,True
11,3464.45,0.022789,207.9972,7,True
12,3464.45,0.022789,207.9972,7,True
13,3464.45,0.022789,207.9972,7,True
14,3464.45,0.022789,207.9972,7,True
15,3468.55,0.022188,208.3498,7,True
16,3468.55,0.022188,208.3498,7,True
17,3468.55,0.022188,208.3498,7,True
18,3468.55,0.022188,208.3498,7,True
19,3468.55,0.022188,208.3498,7,True
20,3468.55,0.022188,208.3498,7,True
21,3468.55,0.022188,208.3498,7,True
22,3468.55,0.022188,208.3498,7,True
23,3468.55,0.022188,208.3498,7,True
24,3468.55,0.022188,208.3498,7,True
25,3468.55,0.022188,208.3498,7,True
26,3468.55,0.022188,208.3498,7,True
27,3468.55,0.022188,208.3498,7,True
28,3471.67,0.021437,208.6187,7,True
29,3471.67,0.021437,208.6187,7,True
30,3471.67,0.021437,208.6187,7,True
31,3471.67,0.021437,208.6187,7,True
32,3471.67,0.021437,208.6187,7,True
33,3471.67,0.021437,208.6187,7,True
34,3471.67,0.021437,208.6187,7,True
35,3471.67,0.021437,208.6187,7,True
36,3471.67,0.021437,208.6187,7,True
37,3471.67,0.021437,208.6187,7,True
38,3471.67,0.021437,208.6187,7,True
39,3471.67,0.021437,208.6187,7,True
40,3471.67,0.021437,208.6187,7,True
41,3471.94,0.020217,208.6422,7,True
42,3471.94,0.020217,208.6422,7,True
43,3471.94,0.020217,208.6422,7,True
44,3471.94,0.020217,208.6422,7,True
45,3471.94,0.020217,208.6422,7,True
46,3471.94,0.020217,208.6422,7,True
47,3471.94,0.020217,208.6422,7,True
48,3471.94,0.020217,208.6422,7,True
49,3471.94,0.020217,208.6422,7,True
50,3471.94,0.020217,208.6422,7,True
51,3471.94,0.020217,208.6422,7,True
52,3471.94,0.020217,208.6422,7,True
53,3471.94,0.020217,208.6422,7,True
54,3564.61,0.019591,216.6257,7,True
55,3564.61,0.019591,216.6257,7,True
56,3564.61,0.019591,216.6257,7,True
57,3564.61,0.019591,216.6257,7,True
58,3564.61,0.019591,216.6257,7,True
59,3564.61,0.019591,216.6257,7,True
60,3564.61,0.019591,216.6257,7,True
61,3564.61,0.019591,216.6257,7,True
62,3564.61,0.019591,216.6257,7,True
63,3564.61,0.019591,216.6257,7,True
64,3564.61,0.019591,216.6257,7,True
65,3564.61,0.019591,216.6257,7,True
66,3564.61,0.019591,216.6257,7,True
67,3564.61,0.019591,216.6257,7,True
68,3692.46,0.019165,227.6394,7,True
69,3692.46,0.019165,227.6394,7,True
70,3692.46,0.019165,227.6394,7,True
71,3692.46,0.019165,227.6394,7,True
72,3692.46,0.019165,227.6394,7,True
73,3692.46,0.019165,227.6394,7,True
74,3692.46,0.019165,227.6394,7,True
75,3692.46,0.019165,227.6394,7,True
76,3692.46,0.019165,227.6394,7,True
77,3692.46,0.019165,227.6394,7,True
78,3692.46,0.019165,227.6394,7,True
79,3692.46,0.019165,227.6394,7,True
80,3692.46,0.019165,227.6394,7,True
81,3692.46,0.019165,227.6394,7,True
82,3788.96,0.019038,235.9519,7,True
83,3788.96,0.019038,235.9519,7,True
84,3788.96,0.019038,235.9519,7,True
85,3788.96,0.019038,235.9519,7,True
86,3788.96,0.019038,235.9519,7,True
87,3788.96,0.019038,235.9519,7,True
88,3788.96,0.019038,235.9519,7,True
89,3901.19,0.018968,245.6202,7,True
90,3901.19,0.018968,245.6202,7,True
91,3901.19,0.018968,245.6202,7,True
92,3901.19,0.018968,245.6202,7,True
93,3901.19,0.018968,245.6202,7,True
94,3901.19,0.018968,245.6202,7,True
95,3901.19,0.018968,245.6202,7,True
96,3901.19,0.018968,245.6202,7,True
97,3901.19,0.018968,245.6202,7,True
98,3901.19,0.018968,245.6202,7,True
99,3901.19,0.018968,245.6202,7,True
100,3901.19,0.018968,245.6202,7,True
