sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,6869.75,0.020119,410.8983,14,True
2,6872.69,0.020083,411.1514,14,True
3,6872.69,0.020083,411.1514,14,True
4,6872.69,0.020083,411.1514,14,True
5,6872.69,0.020083,411.1514,14,True
6,6872.69,0.020083,411.1514,14,True
7,6872.69,0.020083,411.1514,14,True
8,6872.69,0.020083,411.1514,14,True
9,6872.69,0.020083,411.1514,14,True
10,6872.69,0.020083,411.1514,14,True
11,6872.69,0.020083,411.1514,14,True
12,6872.69,0.020083,411.1514,14,True
13,6873.76,0.020076,411.2437,14,True
14,6873.76,0.020076,411.2437,14,True
15,6873.76,0.020076,411.2437,14,True
16,6873.76,0.020076,411.2437,14,True
17,6873.76,0.020076,411.2437,14,True
18,6873.76,0.020076,411.2437,14,True
19,6873.76,0.020076,411.2437,14,True
20,6873.76,0.020076,411.2437,14,True
21,6873.76,0.020076,411.2437,14,True
22,6873.76,0.020076,411.2437,14,True
23,6940.83,0.019887,417.021,14,True
24,6940.83,0.019887,417.021,14,True
25,6940.83,0.019887,417.021,14,True
26,6940.83,0.019887,417.021,14,True
27,6940.83,0.019887,417.021,14,True
28,6940.83,0.019887,417.021,14,True
29,6940.83,0.019887,417.021,14,True
30,6940.83,0.019887,417.021,14,True
31,6940.83,0.019887,417.021,14,True
32,6940.83,0.019887,417.021,14,True
33,7099.09,0.018594,430.6552,14,True
34,7099.09,0.018594,430.6552,14,True
35,7099.09,0.018594,430.6552,14,True
36,7099.09,0.018594,430.6552,14,True
37,7099.09,0.018594,430.6552,14,True
38,7099.09,0.018594,430.6552,14,True
39,7099.09,0.018594,430.6552,14,True
40,7099.09,0.018594,430.6552,14,True
41,7461.61,0.018558,461.8853,14,True
42,7461.61,0.018558,461.8853,14,True
43,7461.61,0.018558,461.8853,14,True
44,7461.61,0.018558,461.8853,14,True
45,7461.61,0.018558,461.8853,14,True
46,7461.61,0.018558,461.8853,14,True
47,7461.61,0.018558,461.8853,14,True
48,7461.61,0.018558,461.8853,14,True
49,7461.61,0.018558,461.8853,14,True
50,7461.61,0.018558,461.8853,14,True
51,7462.13,0.018539,461.9297,14,True
52,7462.13,0.018539,461.9297,14,True
53,7462.13,0.018539,461.9297,14,True
54,7462.13,0.018539,461.9297,14,True
55,7637.39,0.018525,477.0279,14,True
56,7637.39,0.018525,477.0279,14,True
57,7637.39,0.018525,477.0279,14,True
58,7637.39,0.018525,477.0279,14,True
59,7637.39,0.018525,477.0279,14,True
60,7637.39,0.018525,477.0279,14,True
61,7637.39,0.018525,477.0279,14,True
62,7637.39,0.018525,477.0279,14,True
63,7637.39,0.018525,477.0279,14,True
64,7637.39,0.018525,477.0279,14,True
65,7676.88,0.01848,480.4299,14,True
66,7676.88,0.01848,480.4299,14,True
67,7676.88,0.01848,480.4299,14,True
68,7700.07,0.017931,482.4274,14,True
69,7700.07,0.017931,482.4274,14,True
70,7700.07,0.017931,482.4274,14,True
71,7700.07,0.017931,482.4274,14,True
72,7700.07,0.017931,482.4274,14,True
73,7700.07,0.017931,482.4274,14,True
74,7700.07,0.017931,482.4274,14,True
75,7700.07,0.017931,482.4274,14,True
76,7700.07,0.017931,482.4274,14,True
77,7700.07,0.017931,482.4274,14,True
78,7700.59,0.017912,482.4718,14,True
79,7700.59,0.017912,482.4718,14,True
80,7700.59,0.017912,482.4718,14,True
81,7700.59,0.017912,482.4718,14,True
82,7700.59,0.017912,482.4718,14,True
83,7700.59,0.017912,482.4718,14,True
84,7700.59,0.017912,482.4718,14,True
85,7700.59,0.017912,482.4718,14,True
86,7706.07,0.017732,482.9441,14,True
87,7706.07,0.017732,482.9441,14,True
88,7706.07,0.017732,482.9441,14,True
89,7706.07,0.017732,482.9441,14,True
90,7706.07,0.017732,482.9441,14,True
91,7706.07,0.017732,482.9441,14,True
92,7706.07,0.017732,482.9441,14,True
93,7706.07,0.017732,482.9441,14,True
94,7706.07,0.017732,482.9441,14,True
95,7706.07,0.017732,482.9441,14,True
96,7706.58,0.017713,482.9886,14,True
97,7706.58,0.017713,482.9886,14,True
98,7706.58,0.017713,482.9886,14,True
99,7706.58,0.017713,482.9886,14,True
100,7706.58,0.017713,482.9886,14,True
