sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2265.87,0.026703,143.5092,4,True
2,2265.87,0.026703,143.5092,4,True
3,2265.87,0.026703,143.5092,4,True
4,2265.87,0.026703,143.5092,4,True
5,2265.87,0.026703,143.5092,4,True
6,2269.2,0.026631,143.7964,4,True
7,2269.2,0.026631,143.7964,4,True
8,2269.2,0.026631,143.7964,4,True
9,2269.2,0.026631,143.7964,4,True
10,2284.67,0.02484,145.1284,4,True
11,2284.67,0.02484,145.1284,4,True
12,2284.67,0.02484,145.1284,4,True
13,2284.67,0.02484,145.1284,4,True
14,2329.6,0.024604,148.9994,4,True
15,2329.6,0.024604,148.9994,4,True
16,2329.6,0.024604,148.9994,4,True
17,2329.6,0.024604,148.9994,4,True
18,2332.94,0.024532,149.2866,4,True
19,2332.94,0.024532,149.2866,4,True
20,2332.94,0.024532,149.2866,4,True
21,2332.94,0.024532,149.2866,4,True
22,2380.38,0.022919,153.3742,4,True
23,2380.38,0.022919,153.3742,4,True
24,2380.38,0.022919,153.3742,4,True
25,2380.38,0.022919,153.3742,4,True
26,2383.72,0.022847,153.6614,4,True
27,2383.72,0.022847,153.6614,4,True
28,2383.72,0.022847,153.6614,4,True
29,2383.72,0.022847,153.6614,4,True
30,2401.21,0.022474,155.1679,4,True
31,2401.21,0.022474,155.1679,4,True
32,2401.21,0.022474,155.1679,4,True
33,2401.21,0.022474,155.1679,4,True
34,2401.21,0.022474,155.1679,4,True
35,2504.86,0.02412,151.1754,5,True
36,2504.86,0.02412,151.1754,5,True
37,2504.86,0.02412,151.1754,5,True
38,2504.86,0.02412,151.1754,5,True
39,2519.75,0.021836,152.458,5,True
40,2519.75,0.021836,152.458,5,True
41,2519.75,0.021836,152.458,5,True
42,2519.75,0.021836,152.458,5,True
43,2519.75,0.021836,152.458,5,True
44,2576.77,0.018682,157.3701,5,True
45,2576.77,0.018682,157.3701,5,True
46,2576.77,0.018682,157.3701,5,True
47,2576.77,0.018682,157.3701,5,True
48,2579.16,0.017947,157.5764,5,True
49,2579.16,0.017947,157.5764,5,True
50,2579.16,0.017947,157.5764,5,True
51,2579.16,0.017947,157.5764,5,True
52,2582.01,0.017451,157.8213,5,True
53,2582.01,0.017451,157.8213,5,True
54,2582.01,0.017451,157.8213,5,True
55,2582.01,0.017451,157.8213,5,True
56,2753.66,0.015418,159.6863,6,True
57,2913.57,0.015332,173.4624,6,True
58,2913.57,0.015332,173.4624,6,True
59,2913.57,0.015332,173.4624,6,True
60,2913.57,0.015332,173.4624,6,True
61,3412.67,0.01448,169.0776,7,True
62,3461.97,0.014356,173.3249,7,True
63,3461.97,0.014356,173.3249,7,True
64,3461.97,0.014356,173.3249,7,True
65,3461.97,0.014356,173.3249,7,True
66,3461.97,0.014356,173.3249,7,True
67,4084.04,0.013761,179.5329,8,True
68,4084.04,0.013761,179.5329,8,True
69,4084.04,0.013761,179.5329,8,True
70,4084.04,0.013761,179.5329,8,True
71,4084.04,0.013761,179.5329,8,True
72,4115.81,0.013608,182.2696,8,True
73,4115.81,0.013608,182.2696,8,True
74,4115.81,0.013608,182.2696,8,True
75,4115.81,0.013608,182.2696,8,True
76,4130.65,0.013542,183.5486,8,True
77,4130.65,0.013542,183.5486,8,True
78,4130.65,0.013542,183.5486,8,True
79,4157.49,0.013462,185.8608,8,True
80,4188.25,0.013415,188.5104,8,True
81,4188.25,0.013415,188.5104,8,True
82,4188.25,0.013415,188.5104,8,True
83,4188.25,0.013415,188.5104,8,True
84,4188.25,0.013415,188.5104,8,True
85,4836.43,0.013134,196.9681,9,True
86,4836.43,0.013134,196.9681,9,True
87,4836.43,0.013134,196.9681,9,True
88,4836.43,0.013134,196.9681,9,True
89,4865.22,0.012995,199.4487,9,True
90,4865.22,0.012995,199.4487,9,True
91,4865.22,0.012995,199.4487,9,True
92,4865.22,0.012995,199.4487,9,True
93,5493.88,0.012923,206.2245,10,True
94,5493.88,0.012923,206.2245,10,True
95,5493.88,0.012923,206.2245,10,True
96,5493.88,0.012923,206.2245,10,True
97,6277.68,0.01287,226.3663,11,True
98,6277.68,0.01287,226.3663,11,True
99,6277.68,0.01287,226.3663,11,True
100,6277.68,0.01287,226.3663,11,True
