sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2340.05,0.012221,136.9778,5,True
2,2340.05,0.012221,136.9778,5,True
3,2340.05,0.012221,136.9778,5,True
4,2340.05,0.012221,136.9778,5,True
5,2340.05,0.012221,136.9778,5,True
6,2340.05,0.012221,136.9778,5,True
7,2340.05,0.012221,136.9778,5,True
8,2340.05,0.012221,136.9778,5,True
9,2492.92,0.011801,137.2248,6,True
10,2492.92,0.011801,137.2248,6,True
11,2492.92,0.011801,137.2248,6,True
12,2492.92,0.011801,137.2248,6,True
13,2492.92,0.011801,137.2248,6,True
14,2492.92,0.011801,137.2248,6,True
15,2492.92,0.011801,137.2248,6,True
16,2492.92,0.011801,137.2248,6,True
17,2492.92,0.011801,137.2248,6,True
18,2492.92,0.011801,137.2248,6,True
19,2574.42,0.01174,144.2454,6,True
20,2670.33,0.011663,152.5083,6,True
21,2670.33,0.011663,152.5083,6,True
22,2670.33,0.011663,152.5083,6,True
23,2670.33,0.011663,152.5083,6,True
24,2670.33,0.011663,152.5083,6,True
25,2670.33,0.011663,152.5083,6,True
26,2670.33,0.011663,152.5083,6,True
27,2670.33,0.011663,152.5083,6,True
28,2670.33,0.011663,152.5083,6,True
29,2716.53,0.0117,143.566,7,True
30,2716.53,0.0117,143.566,7,True
31,2716.53,0.0117,143.566,7,True
32,2716.53,0.0117,143.566,7,True
33,2716.53,0.0117,143.566,7,True
34,2716.53,0.0117,143.566,7,True
35,2716.53,0.0117,143.566,7,True
36,2716.53,0.0117,143.566,7,True
37,2716.53,0.0117,143.566,7,True
38,2717.26,0.011551,143.6286,7,True
39,2717.26,0.011551,143.6286,7,True
40,2717.26,0.011551,143.6286,7,True
41,2717.26,0.011551,143.6286,7,True
42,2717.26,0.011551,143.6286,7,True
43,2717.26,0.011551,143.6286,7,True
44,2717.26,0.011551,143.6286,7,True
45,2717.26,0.011551,143.6286,7,True
46,2717.26,0.011551,143.6286,7,True
47,2726.63,0.011466,144.4361,7,True
48,2726.63,0.011466,144.4361,7,True
49,2726.63,0.011466,144.4361,7,True
50,2726.63,0.011466,144.4361,7,True
51,2726.63,0.011466,144.4361,7,True
52,2726.63,0.011466,144.4361,7,True
53,2726.63,0.011466,144.4361,7,True
54,2726.63,0.011466,144.4361,7,True
55,2726.63,0.011466,144.4361,7,True
56,2727.28,0.01132,144.4923,7,True
57,2727.28,0.01132,144.4923,7,True
58,2727.28,0.01132,144.4923,7,True
59,2820.69,0.011196,152.5389,7,True
60,2820.69,0.011196,152.5389,7,True
61,2820.69,0.011196,152.5389,7,True
62,2820.69,0.011196,152.5389,7,True
63,2820.69,0.011196,152.5389,7,True
64,2820.69,0.011196,152.5389,7,True
65,2820.69,0.011196,152.5389,7,True
66,2820.69,0.011196,152.5389,7,True
67,2820.69,0.011196,152.5389,7,True
68,2820.69,0.011196,152.5389,7,True
69,3276.99,0.010999,144.4667,8,True
70,3276.99,0.010999,144.4667,8,True
71,3276.99,0.010999,144.4667,8,True
72,3283.17,0.010882,144.9999,8,True
73,3373.55,0.010776,152.7859,8,True
74,3373.55,0.010776,152.7859,8,True
75,3373.55,0.010776,152.7859,8,True
76,3373.55,0.010776,152.7859,8,True
77,3373.55,0.010776,152.7859,8,True
78,3373.55,0.010776,152.7859,8,True
79,3373.55,0.010776,152.7859,8,True
80,3514.73,0.010758,164.9475,8,True
81,3514.73,0.010758,164.9475,8,True
82,3514.73,0.010758,164.9475,8,True
83,3514.73,0.010758,164.9475,8,True
84,3993.55,0.010751,158.8159,9,True
85,3993.55,0.010751,158.8159,9,True
86,3993.55,0.010751,158.8159,9,True
87,3993.55,0.010751,158.8159,9,True
88,3993.55,0.010751,158.8159,9,True
89,3993.55,0.010751,158.8159,9,True
90,3993.55,0.010751,158.8159,9,True
91,3993.55,0.010751,158.8159,9,True
92,3993.55,0.010751,158.8159,9,True
93,4009.67,0.010579,160.2045,9,True
94,4012.83,0.010577,160.4766,9,True
95,4012.83,0.010577,160.4766,9,True
96,4104.8,0.010369,168.3995,9,True
97,4104.8,0.010369,168.3995,9,True
98,4104.8,0.010369,168.3995,9,True
99,4104.8,0.010369,168.3995,9,True
100,4717.26,0.010255,173.7802,10,True
