sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,8307.66,0.017692,496.0029,17,True
2,8307.66,0.017692,496.0029,17,True
3,8307.66,0.017692,496.0029,17,True
4,8307.66,0.017692,496.0029,17,True
5,8307.66,0.017692,496.0029,17,True
6,8307.66,0.017692,496.0029,17,True
7,8307.66,0.017692,496.0029,17,True
8,8307.66,0.017692,496.0029,17,True
9,8307.66,0.017692,496.0029,17,True
10,8325.36,0.017223,497.5277,17,True
11,8325.36,0.017223,497.5277,17,True
12,8325.36,0.017223,497.5277,17,True
13,8325.36,0.017223,497.5277,17,True
14,8325.36,0.017223,497.5277,17,True
15,8325.36,0.017223,497.5277,17,True
16,8325.36,0.017223,497.5277,17,True
17,8325.36,0.017223,497.5277,17,True
18,8325.36,0.017223,497.5277,17,True
19,8325.36,0.017223,497.5277,17,True
20,8362.88,0.017946,487.8385,18,True
21,8362.88,0.017946,487.8385,18,True
22,8362.88,0.017946,487.8385,18,True
23,8362.88,0.017946,487.8385,18,True
24,8362.88,0.017946,487.8385,18,True
25,8362.88,0.017946,487.8385,18,True
26,8362.88,0.017946,487.8385,18,True
27,8362.88,0.017946,487.8385,18,True
28,8362.88,0.017946,487.8385,18,True
29,8377.28,0.017867,489.0784,18,True
30,8378.95,0.017584,489.2224,18,True
31,8378.95,0.017584,489.2224,18,True
32,8378.95,0.017584,489.2224,18,True
33,8378.95,0.017584,489.2224,18,True
34,8378.95,0.017584,489.2224,18,True
35,8378.95,0.017584,489.2224,18,True
36,8378.95,0.017584,489.2224,18,True
37,8471.42,0.017397,497.1884,18,True
38,8471.42,0.017397,497.1884,18,True
39,8471.42,0.017397,497.1884,18,True
40,8471.42,0.017397,497.1884,18,True
41,8496.27,0.017196,499.3296,18,True
42,8496.27,0.017196,499.3296,18,True
43,8496.27,0.017196,499.3296,18,True
44,8496.27,0.017196,499.3296,18,True
45,8515.21,0.016758,500.961,18,True
46,8515.21,0.016758,500.961,18,True
47,8515.21,0.016758,500.961,18,True
48,8515.21,0.016758,500.961,18,True
49,8515.21,0.016758,500.961,18,True
50,8515.21,0.016758,500.961,18,True
51,8515.21,0.016758,500.961,18,True
52,8515.21,0.016758,500.961,18,True
53,8515.21,0.016758,500.961,18,True
54,8515.21,0.016758,500.961,18,True
55,8760.11,0.01675,522.058,18,True
56,8760.11,0.01675,522.058,18,True
57,8760.11,0.01675,522.058,18,True
58,8760.11,0.01675,522.058,18,True
59,8760.11,0.01675,522.058,18,True
60,8760.11,0.01675,522.058,18,True
61,8760.11,0.01675,522.058,18,True
62,8760.11,0.01675,522.058,18,True
63,8831.87,0.016475,515.3182,19,True
64,8831.87,0.016475,515.3182,19,True
65,8831.87,0.016475,515.3182,19,True
66,8831.87,0.016475,515.3182,19,True
67,8831.87,0.016475,515.3182,19,True
68,8831.87,0.016475,515.3182,19,True
69,8831.87,0.016475,515.3182,19,True
70,8831.87,0.016475,515.3182,19,True
71,8831.87,0.016475,515.3182,19,True
72,8879.33,0.016295,519.4064,19,True
73,8879.33,0.016295,519.4064,19,True
74,8879.33,0.016295,519.4064,19,True
75,8879.33,0.016295,519.4064,19,True
76,8879.33,0.016295,519.4064,19,True
77,8879.33,0.016295,519.4064,19,True
78,8879.33,0.016295,519.4064,19,True
79,8883.7,0.016235,519.783,19,True
80,8883.7,0.016235,519.783,19,True
81,8883.7,0.016235,519.783,19,True
82,8883.7,0.016235,519.783,19,True
83,8883.7,0.016235,519.783,19,True
84,8883.7,0.016235,519.783,19,True
85,8883.7,0.016235,519.783,19,True
86,8970.47,0.016219,527.2583,19,True
87,8970.47,0.016219,527.2583,19,True
88,8970.47,0.016219,527.2583,19,True
89,8970.47,0.016219,527.2583,19,True
90,8970.47,0.016219,527.2583,19,True
91,8970.47,0.016219,527.2583,19,True
92,8970.47,0.016219,527.2583,19,True
93,8970.47,0.016219,527.2583,19,True
94,8970.47,0.016219,527.2583,19,True
95,9019.67,0.015867,531.4968,19,True
96,9359.87,0.015696,547.8819,20,True
97,9359.87,0.015696,547.8819,20,True
98,9359.87,0.015696,547.8819,20,True
99,9359.87,0.015696,547.8819,20,True
100,9359.87,0.015696,547.8819,20,True
