sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,1947.86,0.01378,103.1913,5,True
2,1947.9,0.013724,103.1948,5,True
3,1961.9,0.013586,104.4008,5,True
4,1961.94,0.013473,104.4043,5,True
5,2155.12,0.013071,108.1241,6,True
6,2162.41,0.012422,108.7525,6,True
7,2162.46,0.012262,108.757,6,True
8,2181.7,0.011851,110.414,6,True
9,2181.75,0.01155,110.4186,6,True
10,2183.86,0.011455,110.6003,6,True
11,2183.92,0.011311,110.6055,6,True
12,2199.26,0.011171,111.9269,6,True
13,2847.72,0.01117,120.4092,7,True
14,2853.56,0.011019,120.912,7,True
15,2905.35,0.010894,125.3732,7,True
16,2907.33,0.010866,125.5443,7,True
17,2907.38,0.010847,125.5489,7,True
18,2907.39,0.010827,125.5489,7,True
19,2907.46,0.010735,125.555,7,True
20,2909.49,0.010621,125.7306,7,True
21,2909.49,0.010685,125.7306,7,True
22,3545.81,0.010571,133.1664,8,True
23,3571.25,0.010492,135.3577,8,True
24,3573.36,0.010251,135.5394,8,True
25,4204.74,0.010151,142.5507,9,True
