sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,7587.59,0.022021,446.8937,16,True
2,7637.92,0.021858,451.2295,16,True
3,7644.96,0.021758,451.8358,16,True
4,7705.34,0.019872,457.0371,16,True
5,7733.62,0.020909,446.5514,17,True
6,7884.57,0.019814,472.4775,16,True
7,8010.76,0.018765,483.348,16,True
8,8514.32,0.018402,513.8064,17,True
9,8576.99,0.018398,519.2054,17,True
10,8583.99,0.018066,519.8079,17,True
11,8661.06,0.018751,513.5254,18,True
12,8784.74,0.017945,537.1019,17,True
13,8916.84,0.017129,535.5599,18,True
14,9077.35,0.017089,549.3878,18,True
15,9444.43,0.018054,533.6291,19,True
16,9880.36,0.016431,571.183,19,True
17,10391.83,0.016672,567.864,20,True
