sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,6953.23,0.020139,418.0892,14,True
2,6958.21,0.020132,418.5184,14,True
3,6981.57,0.020249,407.6089,15,True
4,7086.61,0.019402,416.6579,15,True
5,7138.54,0.018572,421.1311,15,True
6,7274.62,0.018418,432.8542,15,True
7,7458.82,0.01821,435.8007,16,True
8,7463.19,0.017938,436.1767,16,True
9,7524.11,0.017826,441.4249,16,True
10,7535.54,0.017779,442.4093,16,True
11,7557.86,0.017564,444.3325,16,True
12,7591.7,0.017118,447.2476,16,True
13,7687.24,0.01692,455.4779,16,True
14,7702.81,0.017678,443.8974,17,True
15,7760.11,0.016723,448.8333,17,True
16,7803.88,0.016722,452.6046,17,True
17,7946.19,0.016681,451.9422,18,True
18,7986.51,0.016405,455.4152,18,True
19,8106.43,0.016183,465.7458,18,True
