sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2869.67,0.02616,182.6027,5,True
2,3033.65,0.025275,196.7288,5,True
3,3034.72,0.020975,183.8986,6,True
4,3055.84,0.020965,185.7183,6,True
5,3675.71,0.019836,191.7374,7,True
6,3696.83,0.019487,193.5571,7,True
7,3711.56,0.0187,194.8259,7,True
8,4348.5,0.017654,202.3155,8,True
9,5088.83,0.01728,218.7113,9,True
10,5095.92,0.01714,219.3223,9,True
11,5159.89,0.017,224.8332,9,True
12,5836.24,0.016964,235.7181,10,True
13,5897.04,0.016459,240.9558,10,True
