sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,5067.25,0.021719,307.3064,10,True
2,5068.65,0.021644,307.4273,10,True
3,5075.35,0.021635,308.0047,10,True
4,5092.79,0.021596,309.5068,10,True
5,5122.1,0.021579,312.0317,10,True
6,5157.49,0.02125,315.0807,10,True
7,5173.57,0.021176,316.4655,10,True
8,5181.84,0.020984,317.1782,10,True
9,5314.54,0.020146,315.6878,11,True
10,5338.68,0.020033,317.7673,11,True
11,5535.06,0.020017,334.6848,11,True
12,5536.42,0.019878,334.8018,11,True
13,5631.04,0.020008,330.0315,12,True
14,5655.18,0.019944,332.1109,12,True
15,5661.28,0.01993,332.6367,12,True
16,5672.17,0.019832,333.5745,12,True
17,5695.98,0.019798,335.6256,12,True
18,5731.58,0.019498,338.6925,12,True
19,5752.31,0.019348,340.478,12,True
20,5904.88,0.01887,353.6214,12,True
21,5910.39,0.018865,354.0968,12,True
22,5943.69,0.018472,356.965,12,True
23,6206.85,0.018297,366.7136,13,True
24,6273.93,0.018276,372.4925,13,True
25,7038.0,0.018241,390.9335,14,True
26,7172.73,0.018043,402.5397,14,True
