sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,4935.64,0.02249,295.9691,10,True
2,5014.23,0.021823,289.8174,11,True
3,5083.64,0.021762,295.7966,11,True
4,5118.05,0.021583,311.683,10,True
5,5175.75,0.020955,303.7317,11,True
6,5272.39,0.020808,312.0566,11,True
7,5372.23,0.01927,320.658,11,True
8,5446.25,0.018228,327.0341,11,True
9,5449.36,0.018085,327.3025,11,True
10,5488.33,0.018054,330.659,11,True
11,5603.38,0.017916,340.5706,11,True
12,5912.09,0.020593,319.7842,12,True
13,6024.03,0.018019,329.427,12,True
14,6115.04,0.017983,337.268,12,True
15,6196.24,0.017728,344.2623,12,True
16,6220.43,0.017522,346.347,12,True
17,6272.79,0.017397,350.857,12,True
18,6296.75,0.01736,352.9212,12,True
19,6317.19,0.017028,354.6823,12,True
20,6691.82,0.017931,339.5744,13,True
21,6752.25,0.017305,344.7803,13,True
22,7033.51,0.016809,369.0099,13,True
23,7057.47,0.016783,371.0741,13,True
