sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2558.39,0.019129,155.7866,5,True
2,2563.66,0.01774,156.2408,5,True
3,2573.85,0.017581,157.1186,5,True
4,2737.62,0.016504,158.3048,6,True
5,2747.81,0.016459,159.1825,6,True
6,2820.71,0.016448,165.463,6,True
7,2827.78,0.015937,166.0716,6,True
8,2837.97,0.015662,166.9494,6,True
9,3490.99,0.015026,175.8248,7,True
10,3498.81,0.014417,176.4979,7,True
11,4164.02,0.013978,186.4229,8,True
12,4194.77,0.013868,189.0725,8,True
13,4881.14,0.013513,200.8196,9,True
14,4921.89,0.013242,204.3303,9,True
