sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,1923.05,0.016401,113.976,4,True
2,1948.71,0.016271,116.1868,4,True
3,1957.93,0.016244,116.9814,4,True
4,1976.62,0.016186,118.5909,4,True
5,1983.6,0.016034,119.1922,4,True
6,2021.7,0.015892,122.4749,4,True
7,2054.8,0.015475,125.3262,4,True
8,2063.56,0.015412,126.0812,4,True
9,2066.53,0.015329,126.3365,4,True
10,2068.46,0.015304,126.5033,4,True
11,2075.29,0.015199,127.0914,4,True
12,2094.13,0.015168,128.7141,4,True
13,2100.95,0.015078,129.3022,4,True
14,2102.89,0.015036,129.469,4,True
