sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3675.28,0.020152,213.2367,8,True
2,3677.32,0.018494,213.4132,8,True
3,3821.92,0.017816,225.8695,8,True
4,3829.88,0.017735,226.555,8,True
5,3830.05,0.017718,226.5696,8,True
6,3939.04,0.017005,235.9594,8,True
7,3940.04,0.016976,236.0451,8,True
8,3945.05,0.016957,236.4772,8,True
9,3959.79,0.016734,237.7468,8,True
10,3967.57,0.016487,238.4166,8,True
11,4034.56,0.016149,244.1882,8,True
12,4130.37,0.015959,252.4416,8,True
13,4423.89,0.015775,277.7278,8,True
