sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,4072.3,0.016216,221.5954,10,True
2,4081.72,0.015664,222.407,10,True
3,4086.08,0.015287,222.782,10,True
4,4132.76,0.01336,226.8034,10,True
5,4136.97,0.013008,227.1658,10,True
6,4183.49,0.012942,231.174,10,True
7,4224.3,0.012455,234.6895,10,True
8,4247.53,0.014283,223.7687,11,True
9,4250.96,0.01368,224.064,11,True
10,4260.38,0.01333,224.8756,11,True
11,4279.26,0.012884,226.5023,11,True
12,4293.99,0.012807,227.7706,11,True
13,4330.68,0.012714,230.932,11,True
