sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,1613.23,0.013282,74.3643,5,True
2,1618.39,0.012132,74.8089,5,True
3,1618.43,0.011408,74.8125,5,True
4,1619.96,0.011388,74.9438,5,True
5,1631.79,0.011365,75.963,5,True
6,1634.51,0.011181,76.1979,5,True
7,1635.25,0.011178,76.2616,5,True
8,1636.82,0.010948,76.3966,5,True
9,1654.66,0.010798,77.9331,5,True
10,1656.22,0.010668,78.0681,5,True
11,1662.45,0.010627,78.6043,5,True
12,1668.05,0.010618,79.0873,5,True
13,1669.58,0.010565,79.2186,5,True
14,1673.04,0.010403,79.5172,5,True
15,1674.61,0.010275,79.6522,5,True
16,1685.67,0.010259,80.605,5,True
17,1693.6,0.010229,81.2881,5,True
18,1697.5,0.010187,81.6242,5,True
19,1700.16,0.010057,81.853,5,True
20,1703.31,0.010022,82.1243,5,True
21,1704.06,0.010013,82.1891,5,True
22,1705.92,0.009973,82.3497,5,True
23,1711.83,0.009964,82.8589,5,True
24,1732.01,0.009928,84.5967,5,True
