sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2685.35,0.018972,166.7241,5,True
2,2708.71,0.018184,168.7365,5,True
3,2793.18,0.017852,176.0135,5,True
4,2843.39,0.018657,167.4166,6,True
5,2863.4,0.01756,169.1407,6,True
6,2863.63,0.016947,169.1604,6,True
7,2970.84,0.015558,178.3956,6,True
8,2971.06,0.015066,178.4153,6,True
9,2988.51,0.014934,179.9185,6,True
10,3001.36,0.01488,181.0256,6,True
11,3201.42,0.014695,185.338,7,True
12,3275.16,0.014021,191.6901,7,True
13,3292.61,0.013716,193.1933,7,True
14,3989.14,0.013462,205.8162,8,True
15,4135.5,0.013416,218.4246,8,True
16,4619.5,0.013359,212.7388,9,True
17,4831.38,0.013166,230.9916,9,True
18,5445.77,0.013104,236.5391,10,True
19,5461.73,0.013002,237.9142,10,True
20,6134.97,0.012936,248.5309,11,True
21,6254.57,0.012911,258.8335,11,True
