sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,5003.78,0.026573,314.7609,9,True
2,5024.79,0.023175,303.6488,10,True
3,5053.06,0.022902,306.0843,10,True
4,5124.06,0.0224,312.2008,10,True
5,5167.04,0.021849,315.9033,10,True
6,5324.52,0.02112,316.5472,11,True
7,5325.29,0.020961,316.6141,11,True
8,5386.7,0.020699,321.9044,11,True
9,5450.17,0.020657,327.372,11,True
10,5571.36,0.020586,337.8124,11,True
11,5625.87,0.019987,329.5863,12,True
12,5681.72,0.019835,334.3968,12,True
13,5791.15,0.019553,343.8245,12,True
14,5923.57,0.019434,342.3095,13,True
15,5959.91,0.01934,345.44,13,True
16,6030.33,0.018668,351.5064,13,True
17,7042.39,0.018436,391.3113,14,True
18,7710.73,0.018134,401.5067,15,True
19,7755.22,0.01812,405.3392,15,True
