sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,9355.59,0.022353,573.3565,18,True
2,9565.51,0.021479,578.5186,19,True
3,9794.76,0.021072,598.268,19,True
4,9804.81,0.020758,599.1333,19,True
5,9963.34,0.019424,599.8683,20,True
6,10015.38,0.019422,604.3518,20,True
7,10079.78,0.019324,609.8996,20,True
8,10153.07,0.018677,616.2128,20,True
9,10201.21,0.018804,607.4378,21,True
10,10308.01,0.018395,629.561,20,True
11,10337.04,0.017783,619.1398,21,True
12,10702.38,0.017656,650.6124,21,True
13,11430.89,0.017237,665.99,22,True
