sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,2480.83,0.029338,162.0272,4,True
2,2486.99,0.029199,162.5583,4,True
3,2572.64,0.023048,157.014,5,True
4,2573.66,0.022939,157.102,5,True
5,2625.85,0.019126,161.5979,5,True
6,2646.91,0.01869,163.4122,5,True
7,2859.56,0.017807,168.8099,6,True
8,2870.72,0.017709,169.7706,6,True
9,2897.2,0.01607,172.0522,6,True
10,3416.52,0.015326,169.409,7,True
11,3436.79,0.015016,171.155,7,True
12,3501.55,0.014388,176.7339,7,True
13,4128.37,0.01402,183.3523,8,True
14,4136.52,0.013683,184.0541,8,True
15,4736.45,0.013466,188.3551,9,True
16,4743.35,0.013458,188.95,9,True
17,4803.33,0.013319,194.117,9,True
18,4807.28,0.012985,194.4571,9,True
