sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,4695.49,0.017573,288.2031,9,True
2,4787.0,0.017514,296.086,9,True
3,4811.6,0.015952,298.2053,9,True
4,4890.01,0.015486,292.0383,10,True
5,5016.37,0.015475,302.9231,10,True
6,5061.71,0.015459,306.8294,10,True
7,5088.81,0.014822,296.242,11,True
8,5284.57,0.014676,313.1058,11,True
9,5285.08,0.014644,313.1499,11,True
10,5313.61,0.014571,315.608,11,True
11,5328.06,0.014491,316.8528,11,True
12,5423.13,0.013747,325.0429,11,True
13,6185.48,0.013682,343.3361,12,True
14,6225.37,0.013447,346.7726,12,True
15,6229.9,0.013415,347.1623,12,True
16,6297.21,0.013362,352.9607,12,True
17,6825.66,0.013359,351.1044,13,True
