sol_id,f1_cost_BRL,f2_quality_loss,f3_co2_kg,n_routes,feasible
1,3784.56,0.020259,222.6512,8,True
2,3792.66,0.020161,223.3488,8,True
3,3797.78,0.020013,223.7899,8,True
4,3801.91,0.019427,224.1458,8,True
5,3808.87,0.019288,224.7455,8,True
6,3813.99,0.019251,225.1866,8,True
7,3817.13,0.018585,225.4571,8,True
8,3833.25,0.018404,226.8461,8,True
9,3836.51,0.018379,227.1263,8,True
10,3841.63,0.018278,227.5674,8,True
11,3850.25,0.018245,228.31,8,True
12,3852.64,0.018242,228.5163,8,True
13,4384.05,0.018067,274.295,8,True
