instance,family,size,uncertainty,MOEA-RS,NSGA2-DET,NSGA2-MC,NSGA2-MC10
CCVRPTW-ST_C1_025_HIGH,C1,25,high,1.7162e+03 ± 2.13e+02,3.5462e+03 ± 6.59e+02,4.1533e+03 ± 4.20e+02,4.3907e+03 ± 4.89e+02
CCVRPTW-ST_C1_025_LOW,C1,25,low,3.0322e+03 ± 1.19e+02,5.3267e+03 ± 8.47e+02,5.9418e+03 ± 1.24e+03,5.2236e+03 ± 7.72e+02
CCVRPTW-ST_C1_025_MEDIUM,C1,25,medium,2.5816e+03 ± 2.64e+02,4.8644e+03 ± 5.91e+02,4.9191e+03 ± 5.54e+02,5.8798e+03 ± 1.15e+03
CCVRPTW-ST_C1_050_HIGH,C1,50,high,2.1045e+03 ± 3.77e+02,1.1445e+04 ± 7.92e+02,1.2180e+04 ± 1.06e+03,1.2382e+04 ± 2.76e+02
CCVRPTW-ST_C1_050_LOW,C1,50,low,3.4901e+03 ± 4.52e+02,1.4941e+04 ± 2.27e+03,1.4655e+04 ± 1.88e+03,1.4037e+04 ± 2.15e+03
CCVRPTW-ST_C1_050_MEDIUM,C1,50,medium,5.0744e+03 ± 8.17e+02,1.7163e+04 ± 2.84e+03,1.8563e+04 ± 1.11e+03,1.8071e+04 ± 2.17e+03
CCVRPTW-ST_C1_100_HIGH,C1,100,high,1.6515e+04 ± 1.50e+03,1.1565e+05 ± 1.57e+04,1.3003e+05 ± 7.89e+03,1.1532e+05 ± 2.52e+04
CCVRPTW-ST_C1_100_LOW,C1,100,low,1.3401e+04 ± 2.99e+03,9.5832e+04 ± 8.01e+03,9.3349e+04 ± 9.32e+03,9.6082e+04 ± 4.27e+03
CCVRPTW-ST_C1_100_MEDIUM,C1,100,medium,1.0784e+04 ± 1.25e+03,7.9767e+04 ± 4.66e+03,7.8857e+04 ± 3.34e+03,7.8087e+04 ± 5.59e+03
CCVRPTW-ST_C2_025_HIGH,C2,25,high,3.6230e+02 ± 8.60e+01,2.6614e+03 ± 5.75e+01,2.6361e+03 ± 2.13e+02,2.7735e+03 ± 1.45e+02
CCVRPTW-ST_C2_025_LOW,C2,25,low,7.4603e+01 ± 4.21e+01,6.7260e+02 ± 1.74e+01,6.7178e+02 ± 2.60e+01,7.0378e+02 ± 3.67e+01
CCVRPTW-ST_C2_025_MEDIUM,C2,25,medium,2.9178e+02 ± 7.21e+01,2.6715e+03 ± 1.64e+02,2.6031e+03 ± 3.57e+02,2.6883e+03 ± 1.76e+02
CCVRPTW-ST_C2_050_HIGH,C2,50,high,8.7777e+02 ± 3.58e+02,1.2561e+04 ± 1.34e+03,1.2324e+04 ± 8.96e+02,1.2078e+04 ± 1.19e+03
CCVRPTW-ST_C2_050_LOW,C2,50,low,1.9479e+03 ± 3.31e+02,3.2347e+04 ± 9.31e+02,3.2914e+04 ± 6.02e+02,3.2151e+04 ± 1.30e+03
CCVRPTW-ST_C2_050_MEDIUM,C2,50,medium,2.6245e+03 ± 7.41e+02,4.0774e+04 ± 2.00e+03,4.0816e+04 ± 2.59e+03,4.1609e+04 ± 2.84e+03
CCVRPTW-ST_C2_100_HIGH,C2,100,high,2.6502e+03 ± 2.36e+02,1.1549e+05 ± 3.27e+03,1.1392e+05 ± 7.43e+03,1.1607e+05 ± 2.57e+03
CCVRPTW-ST_C2_100_LOW,C2,100,low,6.6145e+03 ± 1.99e+03,1.6400e+05 ± 7.28e+03,1.6469e+05 ± 6.50e+03,1.6543e+05 ± 5.27e+03
CCVRPTW-ST_C2_100_MEDIUM,C2,100,medium,3.2420e+03 ± 4.01e+02,1.2214e+05 ± 2.06e+03,1.2089e+05 ± 5.30e+03,1.2172e+05 ± 2.40e+03
CCVRPTW-ST_R1_025_HIGH,R1,25,high,9.4982e+03 ± 1.12e+03,1.5319e+04 ± 1.83e+03,1.6437e+04 ± 1.58e+03,1.6734e+04 ± 1.48e+03
CCVRPTW-ST_R1_025_LOW,R1,25,low,7.6830e+03 ± 3.80e+02,1.4245e+04 ± 8.79e+02,1.3680e+04 ± 2.76e+03,1.4862e+04 ± 1.42e+03
CCVRPTW-ST_R1_025_MEDIUM,R1,25,medium,9.5322e+03 ± 9.26e+02,1.6861e+04 ± 1.88e+03,1.8850e+04 ± 3.42e+03,1.8066e+04 ± 2.06e+03
CCVRPTW-ST_R1_050_HIGH,R1,50,high,9.2429e+03 ± 9.37e+02,3.0125e+04 ± 3.23e+03,2.8253e+04 ± 5.60e+03,3.1285e+04 ± 2.29e+03
CCVRPTW-ST_R1_050_LOW,R1,50,low,1.2857e+04 ± 2.22e+03,4.6195e+04 ± 3.24e+03,4.2732e+04 ± 1.88e+03,4.2327e+04 ± 3.32e+03
CCVRPTW-ST_R1_050_MEDIUM,R1,50,medium,6.9772e+03 ± 1.31e+03,2.4375e+04 ± 3.62e+03,2.2327e+04 ± 2.83e+03,2.4814e+04 ± 3.38e+03
CCVRPTW-ST_R1_100_HIGH,R1,100,high,1.3812e+04 ± 1.62e+03,1.2561e+05 ± 1.64e+04,1.1774e+05 ± 1.28e+04,1.1914e+05 ± 1.00e+04
CCVRPTW-ST_R1_100_LOW,R1,100,low,2.2887e+04 ± 1.35e+03,1.4121e+05 ± 2.95e+04,1.5956e+05 ± 5.65e+03,1.5018e+05 ± 2.89e+04
CCVRPTW-ST_R1_100_MEDIUM,R1,100,medium,7.8290e+03 ± 4.46e+02,8.1662e+04 ± 4.37e+03,7.9808e+04 ± 4.26e+03,7.8369e+04 ± 9.38e+03
CCVRPTW-ST_R2_025_HIGH,R2,25,high,6.5724e+03 ± 5.58e+02,2.5564e+04 ± 1.78e+03,2.4010e+04 ± 1.90e+03,2.6169e+04 ± 6.78e+02
CCVRPTW-ST_R2_025_LOW,R2,25,low,1.7499e+03 ± 2.85e+02,1.2639e+04 ± 1.00e+03,1.3246e+04 ± 4.38e+02,1.1639e+04 ± 1.19e+03
CCVRPTW-ST_R2_025_MEDIUM,R2,25,medium,1.6497e+03 ± 4.10e+02,1.0555e+04 ± 3.63e+02,1.0416e+04 ± 1.28e+03,1.0285e+04 ± 1.49e+03
CCVRPTW-ST_R2_050_HIGH,R2,50,high,2.9838e+03 ± 1.99e+03,7.1839e+04 ± 6.02e+03,7.1714e+04 ± 2.71e+03,7.1044e+04 ± 4.47e+03
CCVRPTW-ST_R2_050_LOW,R2,50,low,3.0842e+03 ± 5.68e+02,4.7445e+04 ± 3.34e+03,4.8460e+04 ± 2.61e+03,4.6316e+04 ± 1.16e+03
