instance,algorithm,hv_mean,hv_std,hv_max,family,size,uncertainty
CCVRPTW-ST_C1_025_HIGH,MOEA-RS,1716.1599640991903,212.5183148000831,1935.61190297184,C1,25,high
CCVRPTW-ST_C1_025_HIGH,NSGA2-DET,3546.1654827084703,658.9529633027364,4282.006512557897,C1,25,high
CCVRPTW-ST_C1_025_HIGH,NSGA2-MC,4153.330858732008,419.6276022292166,4883.911576310187,C1,25,high
CCVRPTW-ST_C1_025_HIGH,NSGA2-MC10,4390.658426440031,488.9735380398858,5046.459771717235,C1,25,high
CCVRPTW-ST_C1_025_LOW,MOEA-RS,3032.238887097188,119.35075187614062,3150.1670823828,C1,25,low
CCVRPTW-ST_C1_025_LOW,NSGA2-DET,5326.696329851302,846.5890496184568,6703.828106254208,C1,25,low
CCVRPTW-ST_C1_025_LOW,NSGA2-MC,5941.807547083715,1244.1544182848406,7689.356553217716,C1,25,low
CCVRPTW-ST_C1_025_LOW,NSGA2-MC10,5223.584180140732,771.8293711312062,6194.762226289693,C1,25,low
CCVRPTW-ST_C1_025_MEDIUM,MOEA-RS,2581.5588311369747,264.2731431980633,2980.246893535454,C1,25,medium
CCVRPTW-ST_C1_025_MEDIUM,NSGA2-DET,4864.378613957168,590.6807090132183,5670.388418907014,C1,25,medium
CCVRPTW-ST_C1_025_MEDIUM,NSGA2-MC,4919.117379990314,554.0815038233113,5392.036582462953,C1,25,medium
CCVRPTW-ST_C1_025_MEDIUM,NSGA2-MC10,5879.794924816367,1149.384644470938,7262.399039864439,C1,25,medium
CCVRPTW-ST_C1_050_HIGH,MOEA-RS,2104.4804972832776,376.8024142040792,2586.2970779805532,C1,50,high
CCVRPTW-ST_C1_050_HIGH,NSGA2-DET,11444.958625436939,792.3301376570581,12128.106040970508,C1,50,high
CCVRPTW-ST_C1_050_HIGH,NSGA2-MC,12179.851303990825,1058.1814276604189,13316.416676064673,C1,50,high
CCVRPTW-ST_C1_050_HIGH,NSGA2-MC10,12381.770331950145,276.1866543723611,12642.867310777772,C1,50,high
CCVRPTW-ST_C1_050_LOW,MOEA-RS,3490.0705524371297,451.86459576533343,4021.8866163148286,C1,50,low
CCVRPTW-ST_C1_050_LOW,NSGA2-DET,14940.761524771555,2265.0763235506297,17261.968326749422,C1,50,low
CCVRPTW-ST_C1_050_LOW,NSGA2-MC,14655.090234701132,1876.6293174958223,16274.506773638697,C1,50,low
CCVRPTW-ST_C1_050_LOW,NSGA2-MC10,14036.63690679464,2149.7483542199925,17106.10067318188,C1,50,low
CCVRPTW-ST_C1_050_MEDIUM,MOEA-RS,5074.418380427785,817.2027060860465,6127.459975262111,C1,50,medium
CCVRPTW-ST_C1_050_MEDIUM,NSGA2-DET,17162.818490694754,2837.4909677504,20467.20628658752,C1,50,medium
CCVRPTW-ST_C1_050_MEDIUM,NSGA2-MC,18563.48582622879,1114.6339409958343,19988.877733799774,C1,50,medium
CCVRPTW-ST_C1_050_MEDIUM,NSGA2-MC10,18070.924796517622,2169.4522979116073,21163.53476970184,C1,50,medium
CCVRPTW-ST_C1_100_HIGH,MOEA-RS,16514.953372683744,1503.868491701993,18245.768552814417,C1,100,high
CCVRPTW-ST_C1_100_HIGH,NSGA2-DET,115653.30883605992,15749.209954229516,130132.69225785002,C1,100,high
CCVRPTW-ST_C1_100_HIGH,NSGA2-MC,130026.62344842455,7890.993592453817,137352.28090483666,C1,100,high
CCVRPTW-ST_C1_100_HIGH,NSGA2-MC10,115316.69733614963,25173.715174765795,140405.3679273995,C1,100,high
CCVRPTW-ST_C1_100_LOW,MOEA-RS,13400.664330812378,2993.9560161951076,17572.45609943016,C1,100,low
CCVRPTW-ST_C1_100_LOW,NSGA2-DET,95832.21208297469,8007.043445626008,105672.28141396516,C1,100,low
CCVRPTW-ST_C1_100_LOW,NSGA2-MC,93348.66365601716,9315.064689763085,103737.64863809367,C1,100,low
CCVRPTW-ST_C1_100_LOW,NSGA2-MC10,96082.00836078227,4270.975486447317,101919.181138843,C1,100,low
CCVRPTW-ST_C1_100_MEDIUM,MOEA-RS,10784.397648180062,1248.4420846440642,11573.934204980498,C1,100,medium
CCVRPTW-ST_C1_100_MEDIUM,NSGA2-DET,79767.03463340181,4656.010602270588,85893.47232220288,C1,100,medium
CCVRPTW-ST_C1_100_MEDIUM,NSGA2-MC,78856.95598079616,3336.140924621319,83205.10358897338,C1,100,medium
CCVRPTW-ST_C1_100_MEDIUM,NSGA2-MC10,78087.44661248261,5587.927706885107,83159.2817594409,C1,100,medium
CCVRPTW-ST_C2_025_HIGH,MOEA-RS,362.2956016124025,85.996646295948,462.13729006826384,C2,25,high
CCVRPTW-ST_C2_025_HIGH,NSGA2-DET,2661.374287157574,57.472439397189895,2741.5014862505495,C2,25,high
CCVRPTW-ST_C2_025_HIGH,NSGA2-MC,2636.140262182153,213.47356549718347,2865.6865428518227,C2,25,high
CCVRPTW-ST_C2_025_HIGH,NSGA2-MC10,2773.460750130169,144.612757057639,2984.9163493564,C2,25,high
CCVRPTW-ST_C2_025_LOW,MOEA-RS,74.60338732167641,42.071495526372104,101.34318684180131,C2,25,low
CCVRPTW-ST_C2_025_LOW,NSGA2-DET,672.5966855014643,17.371510942943576,689.3421364947285,C2,25,low
CCVRPTW-ST_C2_025_LOW,NSGA2-MC,671.7823914427194,25.992874807638362,700.0176174857982,C2,25,low
CCVRPTW-ST_C2_025_LOW,NSGA2-MC10,703.7842546944714,36.66643341522692,734.5792402701439,C2,25,low
CCVRPTW-ST_C2_025_MEDIUM,MOEA-RS,291.7783338058499,72.05274612928464,382.73753274903754,C2,25,medium
CCVRPTW-ST_C2_025_MEDIUM,NSGA2-DET,2671.4754713289526,164.33854008385848,2866.2284685882314,C2,25,medium
CCVRPTW-ST_C2_025_MEDIUM,NSGA2-MC,2603.126569326223,356.5839859489467,2959.507639918937,C2,25,medium
CCVRPTW-ST_C2_025_MEDIUM,NSGA2-MC10,2688.2804978629283,175.53121145397625,2910.5097323646587,C2,25,medium
CCVRPTW-ST_C2_050_HIGH,MOEA-RS,877.7679520610214,357.70365948554854,1422.6181108265507,C2,50,high
CCVRPTW-ST_C2_050_HIGH,NSGA2-DET,12561.25335240248,1337.478676154563,14583.373769245256,C2,50,high
CCVRPTW-ST_C2_050_HIGH,NSGA2-MC,12324.009662018923,895.5756894549281,13854.209408256027,C2,50,high
CCVRPTW-ST_C2_050_HIGH,NSGA2-MC10,12077.968722643269,1194.201578904607,13496.245668790049,C2,50,high
CCVRPTW-ST_C2_050_LOW,MOEA-RS,1947.8887223831814,331.48879185871476,2269.6536953398167,C2,50,low
CCVRPTW-ST_C2_050_LOW,NSGA2-DET,32347.4253629762,931.4677070721058,33524.41378857516,C2,50,low
CCVRPTW-ST_C2_050_LOW,NSGA2-MC,32914.01248929543,601.7543515088545,33718.85623448734,C2,50,low
CCVRPTW-ST_C2_050_LOW,NSGA2-MC10,32150.98983338254,1304.7400825679501,33893.93739617894,C2,50,low
CCVRPTW-ST_C2_050_MEDIUM,MOEA-RS,2624.4687930186346,740.6551135924423,3693.5027754803464,C2,50,medium
CCVRPTW-ST_C2_050_MEDIUM,NSGA2-DET,40774.2478017488,1996.877197880915,42365.73649870018,C2,50,medium
CCVRPTW-ST_C2_050_MEDIUM,NSGA2-MC,40816.37181837631,2585.3757760264093,43970.16900722218,C2,50,medium
CCVRPTW-ST_C2_050_MEDIUM,NSGA2-MC10,41609.39537874443,2841.998713178988,43762.877329455776,C2,50,medium
CCVRPTW-ST_C2_100_HIGH,MOEA-RS,2650.2399232496864,236.0270905725435,2985.3928135898072,C2,100,high
CCVRPTW-ST_C2_100_HIGH,NSGA2-DET,115489.13269200575,3267.891700345156,119655.18133274153,C2,100,high
CCVRPTW-ST_C2_100_HIGH,NSGA2-MC,113919.01322939014,7427.76830810389,124394.85013523953,C2,100,high
CCVRPTW-ST_C2_100_HIGH,NSGA2-MC10,116072.02826257508,2572.016999098592,118398.00893434828,C2,100,high
CCVRPTW-ST_C2_100_LOW,MOEA-RS,6614.458721969876,1985.2225701213445,10039.259738000208,C2,100,low
CCVRPTW-ST_C2_100_LOW,NSGA2-DET,163997.03830131536,7283.302588062398,172540.88242123977,C2,100,low
CCVRPTW-ST_C2_100_LOW,NSGA2-MC,164690.36604101202,6497.516810528919,172768.05082520394,C2,100,low
CCVRPTW-ST_C2_100_LOW,NSGA2-MC10,165429.1870701823,5268.66821351027,170154.3160086678,C2,100,low
CCVRPTW-ST_C2_100_MEDIUM,MOEA-RS,3242.032820095642,401.46080196113286,3794.9930026772217,C2,100,medium
CCVRPTW-ST_C2_100_MEDIUM,NSGA2-DET,122142.84552132999,2056.8892199796287,123698.41902774182,C2,100,medium
CCVRPTW-ST_C2_100_MEDIUM,NSGA2-MC,120886.39443045857,5300.72654354812,127053.73395807586,C2,100,medium
CCVRPTW-ST_C2_100_MEDIUM,NSGA2-MC10,121723.61618320276,2404.8335714428167,124568.40055530603,C2,100,medium
CCVRPTW-ST_R1_025_HIGH,MOEA-RS,9498.24535148652,1119.3623067825943,10898.540766738988,R1,25,high
CCVRPTW-ST_R1_025_HIGH,NSGA2-DET,15318.531163700438,1834.4001809894266,16944.853433303768,R1,25,high
CCVRPTW-ST_R1_025_HIGH,NSGA2-MC,16436.82556955528,1575.8405747034994,17912.538076991455,R1,25,high
CCVRPTW-ST_R1_025_HIGH,NSGA2-MC10,16733.910146349546,1477.4159096911299,18668.48742069286,R1,25,high
CCVRPTW-ST_R1_025_LOW,MOEA-RS,7682.952431514708,379.56189705425226,8269.753555606174,R1,25,low
CCVRPTW-ST_R1_025_LOW,NSGA2-DET,14245.029148731963,879.0378891578121,15725.737174921645,R1,25,low
CCVRPTW-ST_R1_025_LOW,NSGA2-MC,13679.9076402406,2755.9907930184017,16219.132989289501,R1,25,low
CCVRPTW-ST_R1_025_LOW,NSGA2-MC10,14861.60595504434,1422.0050112633735,17153.991792987723,R1,25,low
CCVRPTW-ST_R1_025_MEDIUM,MOEA-RS,9532.249876336038,926.3963895970544,10754.438637429594,R1,25,medium
CCVRPTW-ST_R1_025_MEDIUM,NSGA2-DET,16861.44801823954,1877.923560892958,18889.263456666522,R1,25,medium
CCVRPTW-ST_R1_025_MEDIUM,NSGA2-MC,18850.367518192892,3418.231612587315,23390.99379066287,R1,25,medium
CCVRPTW-ST_R1_025_MEDIUM,NSGA2-MC10,18065.847737368367,2062.2281579449696,21061.610588456537,R1,25,medium
CCVRPTW-ST_R1_050_HIGH,MOEA-RS,9242.91706236695,936.7016380933759,10638.817336177974,R1,50,high
CCVRPTW-ST_R1_050_HIGH,NSGA2-DET,30124.725079076212,3229.4175614541505,34740.3317234722,R1,50,high
CCVRPTW-ST_R1_050_HIGH,NSGA2-MC,28253.310574960255,5598.818695482982,33016.020791190545,R1,50,high
CCVRPTW-ST_R1_050_HIGH,NSGA2-MC10,31284.868350850225,2287.0388493767555,34293.18428906893,R1,50,high
CCVRPTW-ST_R1_050_LOW,MOEA-RS,12857.168673547329,2215.9544946026344,15807.014016634039,R1,50,low
CCVRPTW-ST_R1_050_LOW,NSGA2-DET,46195.28436658605,3243.9216665540584,50005.955634204576,R1,50,low
CCVRPTW-ST_R1_050_LOW,NSGA2-MC,42731.556871117544,1877.9313679530549,43848.009713916894,R1,50,low
CCVRPTW-ST_R1_050_LOW,NSGA2-MC10,42327.464062977524,3324.727255529449,47350.884368376,R1,50,low
CCVRPTW-ST_R1_050_MEDIUM,MOEA-RS,6977.2057298398895,1312.6042566851931,8924.320907814572,R1,50,medium
CCVRPTW-ST_R1_050_MEDIUM,NSGA2-DET,24374.874348364905,3615.5683594932784,28955.07625494773,R1,50,medium
CCVRPTW-ST_R1_050_MEDIUM,NSGA2-MC,22326.681200217186,2828.7214577178725,26421.077333672354,R1,50,medium
CCVRPTW-ST_R1_050_MEDIUM,NSGA2-MC10,24813.570687385254,3379.9755285301903,28034.337020716448,R1,50,medium
CCVRPTW-ST_R1_100_HIGH,MOEA-RS,13811.702030229379,1621.4462031913945,16671.41189116266,R1,100,high
CCVRPTW-ST_R1_100_HIGH,NSGA2-DET,125607.50827585133,16384.071425823433,142822.27862539628,R1,100,high
CCVRPTW-ST_R1_100_HIGH,NSGA2-MC,117743.77695672768,12780.758787957659,130544.75047762666,R1,100,high
CCVRPTW-ST_R1_100_HIGH,NSGA2-MC10,119142.12833813377,10032.70390185136,133000.5779846732,R1,100,high
CCVRPTW-ST_R1_100_LOW,MOEA-RS,22886.504572518537,1346.0824119251577,24535.221914928567,R1,100,low
CCVRPTW-ST_R1_100_LOW,NSGA2-DET,141205.45840186052,29533.24720954779,166792.12271365814,R1,100,low
CCVRPTW-ST_R1_100_LOW,NSGA2-MC,159556.2135852017,5650.123854943252,169086.91051278418,R1,100,low
CCVRPTW-ST_R1_100_LOW,NSGA2-MC10,150184.68220640713,28938.335860362713,170017.4004465778,R1,100,low
CCVRPTW-ST_R1_100_MEDIUM,MOEA-RS,7829.018328995968,445.84996749043546,8540.724657335148,R1,100,medium
CCVRPTW-ST_R1_100_MEDIUM,NSGA2-DET,81662.1134721742,4368.314379156835,87456.8018219815,R1,100,medium
CCVRPTW-ST_R1_100_MEDIUM,NSGA2-MC,79808.04364003125,4259.194719541102,82666.21292310988,R1,100,medium
CCVRPTW-ST_R1_100_MEDIUM,NSGA2-MC10,78368.5540046503,9380.282543372652,86817.4128402489,R1,100,medium
CCVRPTW-ST_R2_025_HIGH,MOEA-RS,6572.407942133308,558.4939048784247,7210.69105630148,R2,25,high
CCVRPTW-ST_R2_025_HIGH,NSGA2-DET,25564.48410030417,1784.6565613379707,28009.854041004106,R2,25,high
CCVRPTW-ST_R2_025_HIGH,NSGA2-MC,24009.625428889318,1903.3051206341806,25900.707529661187,R2,25,high
CCVRPTW-ST_R2_025_HIGH,NSGA2-MC10,26169.19879197205,678.3401584947296,26751.10875895283,R2,25,high
CCVRPTW-ST_R2_025_LOW,MOEA-RS,1749.8759887754488,285.37986790694225,2089.75329327016,R2,25,low
CCVRPTW-ST_R2_025_LOW,NSGA2-DET,12638.89756889515,1000.9421358198528,13541.536323512948,R2,25,low
CCVRPTW-ST_R2_025_LOW,NSGA2-MC,13245.902701425894,438.33007339377764,13744.347821601474,R2,25,low
CCVRPTW-ST_R2_025_LOW,NSGA2-MC10,11639.454929776519,1191.9943560203315,13194.845086670754,R2,25,low
CCVRPTW-ST_R2_025_MEDIUM,MOEA-RS,1649.6882579086334,409.51368261478905,2118.7512338872757,R2,25,medium
CCVRPTW-ST_R2_025_MEDIUM,NSGA2-DET,10554.843387112143,362.52307024841593,10953.755279577636,R2,25,medium
CCVRPTW-ST_R2_025_MEDIUM,NSGA2-MC,10416.043904518607,1280.781074641123,11828.161160354757,R2,25,medium
CCVRPTW-ST_R2_025_MEDIUM,NSGA2-MC10,10285.090746760321,1493.5357180433177,12040.84366772355,R2,25,medium
CCVRPTW-ST_R2_050_HIGH,MOEA-RS,2983.785179989126,1994.2462838916324,5550.149744545589,R2,50,high
CCVRPTW-ST_R2_050_HIGH,NSGA2-DET,71839.1173802304,6015.772309770263,78282.16230970187,R2,50,high
