instance,algorithm,family,size,uncertainty,sigma_T_C,n_runs,elapsed_s_mean,hypervolume_mean,hypervolume_std,hypervolume_best,spread_mean,spread_std,spread_best,best_cost_BRL_mean,best_cost_BRL_std,best_cost_BRL_best,best_quality_pct_mean,best_quality_pct_std,best_quality_pct_best,best_co2_kg_mean,best_co2_kg_std,best_co2_kg_best
CCVRPTW-ST_C1_025_HIGH,MOEA-RS,C1,25,high,2.0,5,16.0,1716.159964,212.518315,1935.611903,0.627423,0.122234,0.473232,2351.856,74.825622,2265.21,98.6218,0.083825,98.726,134.0111,4.910105,128.1618
CCVRPTW-ST_C1_025_HIGH,NSGA2-DET,C1,25,high,2.0,5,14.0,3546.165483,658.952963,4282.006513,1.542456,0.156983,1.338236,1720.206,32.14587,1672.82,98.8134,0.012054,98.831,96.38952,2.627294,92.4198
CCVRPTW-ST_C1_025_HIGH,NSGA2-MC,C1,25,high,2.0,5,15.9,4153.330859,419.627602,4883.911576,0.763764,0.129347,0.603008,1724.244,45.235498,1664.32,98.8054,0.017487,98.822,96.81934,3.893543,91.6873
CCVRPTW-ST_C1_025_HIGH,NSGA2-MC10,C1,25,high,2.0,5,21.8,4390.658426,488.973538,5046.459772,0.728344,0.073241,0.63214,1757.562,55.963657,1684.25,98.825,0.039774,98.886,99.53782,5.126563,92.4944
CCVRPTW-ST_C1_025_LOW,MOEA-RS,C1,25,low,0.5,5,22.1,3032.238887,119.350752,3150.167082,0.609482,0.093474,0.476713,2595.124,86.02109,2486.22,98.4118,0.011756,98.428,153.26574,2.33372,149.57
CCVRPTW-ST_C1_025_LOW,NSGA2-DET,C1,25,low,0.5,5,35.9,5326.69633,846.58905,6703.828106,1.638665,0.064854,1.569392,2057.486,113.744436,1906.57,98.6938,0.036058,98.745,118.73014,4.54212,112.5566
CCVRPTW-ST_C1_025_LOW,NSGA2-MC,C1,25,low,0.5,5,44.9,5941.807547,1244.154418,7689.356553,0.761207,0.041091,0.729008,2069.172,153.850756,1847.09,98.7134,0.042571,98.759,117.39558,8.004019,107.4325
CCVRPTW-ST_C1_025_LOW,NSGA2-MC10,C1,25,low,0.5,5,43.4,5223.58418,771.829371,6194.762226,0.70768,0.061583,0.616993,2101.682,146.719993,1915.33,98.7142,0.035358,98.768,121.6116,6.550966,113.3109
CCVRPTW-ST_C1_025_MEDIUM,MOEA-RS,C1,25,medium,1.0,5,21.0,2581.558831,264.273143,2980.246894,0.597895,0.082601,0.507316,2361.968,35.310631,2303.32,98.7716,0.052156,98.852,133.65068,2.349724,131.0294
CCVRPTW-ST_C1_025_MEDIUM,NSGA2-DET,C1,25,medium,1.0,5,34.5,4864.378614,590.680709,5670.388419,1.658673,0.073736,1.580151,1954.014,37.226349,1907.67,98.9426,0.033223,98.977,103.72186,3.206995,99.7292
